library,specimen_id,sample_accession,experiment_accession,run_accession,ncbi_taxid,scientific_name,family_taxid,family_name,country,prefix
CDM:AES,TROM_V_135704,SAMEA8200988,ERX5309990,ERR5529529,2005343,Agrostis_anadyrensis,4479,Poaceae,Russia,TV135704
CDM:AHC,TROM_V_167146,SAMEA8201412,ERX5309991,ERR5529530,241206,Carex_elata,4609,Cyperaceae,Finland,TV167146
BXA:BTK,TROM_V_71535,SAMEA8202001,ERX5309992,ERR5529531,940194,Arenaria_norvegica,3568,Caryophyllaceae,Norway,TV71535
CDM:ALU,TROM_V_159750,SAMEA8201336,ERX5309993,ERR5529532,439142,Lonicera_xylosteum,4200,Caprifoliaceae,Denmark,TV159750
BXA:CGF,TROM_V_135785,SAMEA8201027,ERX5309994,ERR5529533,95382,Draba_crassifolia,3700,Brassicaceae,Greenland,TV135785
BXA:CHY,TROM_V_113369,SAMEA8200860,ERX5309995,ERR5529534,223577,Selinum_carvifolia,4037,Apiaceae,Sweden,TV113369
CDM:AGO,TROM_V_155930,SAMEA8201329,ERX5309996,ERR5529535,467604,Rumex_maritimus,3615,Polygonaceae,Sweden,TV155930
CDM:ANJ,TROM_V_136118,SAMEA8201121,ERX5309997,ERR5529536,311925,Draba_cinerea,3700,Brassicaceae,Greenland,TV136118
CDM:AFL,TROM_V_135898,SAMEA8201082,ERX5309998,ERR5529537,1114890,Salix_boganidensis,3688,Salicaceae,Russia,TV135898
CDM:AHS,TROM_V_90044,SAMEA8202130,ERX5309999,ERR5529538,715714,Galium_saxatile,24966,Rubiaceae,Norway,TV90044
CDM:ANK,TROM_V_172359,SAMEA8201454,ERX5310000,ERR5529539,310246,Crepis_praemorsa,4210,Asteraceae,Norway,TV172359
CDM:ABC,TROM_V_142368,SAMEA8201135,ERX5310001,ERR5529540,56531,Inula_salicina,4210,Asteraceae,Norway,TV142368
CDM:ACE,TROM_V_17416,SAMEA8201487,ERX5310002,ERR5529541,2005303,Draba_cacuminum,3700,Brassicaceae,Norway,TV17416
CDM:AHB,TROM_V_156729,SAMEA8201330,ERX5310003,ERR5529542,59993,Myosurus_minimus,3440,Ranunculaceae,Finland,TV156729
CDM:AGL,TROM_V_161753,SAMEA8201339,ERX5310004,ERR5529543,2711273,Sagina_alexandrae,3568,Caryophyllaceae,Faroe Islands,TV161753
BXA:CHL,TROM_V_158415,SAMEA8201335,ERX5310005,ERR5529544,270432,Erica_cinerea,4345,Ericaceae,Faroe Islands,TV158415
BXA:BVD,TROM_V_25208,SAMEA8201758,ERX5310006,ERR5529545,234458,Braya_linearis,3700,Brassicaceae,Norway,TV25208
BXA:CEU,TROM_V_135852,SAMEA8201064,ERX5310007,ERR5529546,329327,Pseudorchis_albida_subsp_straminea,4747,Orchidaceae,Greenland,TV135852
BXA:CGN,TROM_V_135730,SAMEA8200997,ERX5310008,ERR5529547,413038,Platanthera_hyperborea,4747,Orchidaceae,Greenland,TV135730
BXA:CLK,TROM_V_135728,SAMEA8200996,ERX5310009,ERR5529548,183794,Leymus_mollis,4479,Poaceae,Greenland,TV135728
