library,specimen_id,sample_accession,experiment_accession,run_accession,ncbi_taxid,scientific_name,family_taxid,family_name,country,prefix
CDM:ABY,TROM_V_47363,SAMEA8201848,ERX5310147,ERR5529686,77069,Salix_triandra,3688,Salicaceae,Finland,TV47363
BXA:CEH,TROM_V_90881,SAMEA8202153,ERX5310148,ERR5529687,654647,Potentilla_rubricaulis,3745,Rosaceae,Greenland,TV90881
BXA:CEW,TROM_V_135842,SAMEA8201059,ERX5310149,ERR5529688,669766,Pedicularis_flammea,91896,Orobanchaceae,Greenland,TV135842
CDM:AFJ,TROM_V_135797,SAMEA8201034,ERX5310150,ERR5529689,91257,Erigeron_compositus,4210,Asteraceae,Greenland,TV135797
CDM:AEJ,TROM_V_37121,SAMEA8201813,ERX5310151,ERR5529690,439142,Lonicera_xylosteum,4200,Caprifoliaceae,Norway,TV37121
BMB:HN,TROM_V_856,SAMEA8202058,ERX5310152,ERR5529691,516948,Vaccinium_oxycoccos,4345,Ericaceae,Norway,TV856
BXA:BLE,TROM_V_14521,SAMEA8201140,ERX5310153,ERR5529692,1891463,Calamagrostis_lapponica_subsp_lapponica,4479,Poaceae,Norway,TV14521
CDM:AKD,TROM_V_81913,SAMEA8202036,ERX5310154,ERR5529693,644182,Epilobium_parviflorum,3934,Onagraceae,Finland,TV81913
CDM:AUB,TROM_V_75125,SAMEA8202012,ERX5310155,ERR5529694,15193,Carex_hirta,4609,Cyperaceae,Finland,TV75125
CDM:ADN,TROM_V_136121,SAMEA8201122,ERX5310156,ERR5529695,464057,Festuca_hyperborea,4479,Poaceae,Greenland,TV136121
BXA:CGA,TROM_V_135928,SAMEA8201102,ERX5310157,ERR5529696,568571,Ranunculus_sabinei,3440,Ranunculaceae,Greenland,TV135928
CDM:ARN,TROM_V_59430,SAMEA8201893,ERX5310158,ERR5529697,29677,Lolium_giganteum,4479,Poaceae,Norway,TV59430
BXA:CKS,TROM_V_135926,SAMEA8201101,ERX5310159,ERR5529698,1301442,Ranunculus_confervoides,3440,Ranunculaceae,Greenland,TV135926
BXA:AQV,TROM_V_56484,SAMEA8201882,ERX5310160,ERR5529699,1891465,Calamagrostis_neglecta_subsp_neglecta,4479,Poaceae,Norway,TV56484
CDM:ASE,TROM_V_93004,SAMEA8202194,ERX5310161,ERR5529700,69867,Carex_scirpoidea,4609,Cyperaceae,Norway,TV93004
BXA:AHP,TROM_V_89059,SAMEA8202092,ERX5310162,ERR5529701,268065,Hieracium_umbellatum,4210,Asteraceae,Norway,TV89059
BXA:APQ,TROM_V_130540,SAMEA8200890,ERX5310163,ERR5529702,389631,Anthoxanthum_australe,4479,Poaceae,Finland,TV130540
CDM:APD,TROM_V_69401,SAMEA8201985,ERX5310164,ERR5529703,241642,Rhynchospora_alba,4609,Cyperaceae,Norway,TV69401
BMB:AI,TROM_V_6237,SAMEA8201906,ERX5310165,ERR5529704,100286,Carex_rupestris,4609,Cyperaceae,Norway,TV6237
CDM:AOL,TROM_V_34626,SAMEA8201785,ERX5310166,ERR5529705,29663,Brachypodium_pinnatum,4479,Poaceae,Norway,TV34626
BXA:CIS,TROM_V_91101,SAMEA8202159,ERX5310167,ERR5529706,55316,Najas_marina,26319,Hydrocharitaceae,Norway,TV91101
CDM:AGK,TROM_V_6313,SAMEA8201912,ERX5310168,ERR5529707,90363,Scrophularia_nodosa,4149,Scrophulariaceae,Norway,TV6313
CDM:BAW,TROM_V_8693,SAMEA8202075,ERX5310169,ERR5529708,126913,Suaeda_maritima,1804623,Chenopodiaceae,Norway,TV8693
BXA:AFR,TROM_V_7339,SAMEA8202006,ERX5310170,ERR5529709,221204,Pilosella_officinarum,4210,Asteraceae,Norway,TV7339
BXA:CHN,TROM_V_91084,SAMEA8202158,ERX5310171,ERR5529710,319741,Sparganium_glomeratum,4731,Typhaceae,Norway,TV91084
CDM:AAT,TROM_V_89848,SAMEA8202120,ERX5310172,ERR5529711,313121,Lathyrus_niger,3803,Fabaceae,Norway,TV89848
BMB:Q,TROM_V_34221,SAMEA8201783,ERX5310173,ERR5529712,241235,Carex_vaginata,4609,Cyperaceae,Norway,TV34221
CDM:BCN,TROM_V_89879,SAMEA8202125,ERX5310174,ERR5529713,654642,Potentilla_thuringiaca,3745,Rosaceae,Norway,TV89879
CDM:AOV,TROM_V_89846,SAMEA8202119,ERX5310175,ERR5529714,140838,Carex_muricata,4609,Cyperaceae,Norway,TV89846
CDM:AAF,TROM_V_89877,SAMEA8202124,ERX5310176,ERR5529715,170545,Anchusa_arvensis,21571,Boraginaceae,Norway,TV89877
BXA:CEX,TROM_V_135837,SAMEA8201055,ERX5310177,ERR5529716,1301401,Papaver_lapponicum_subsp_occidentale,3465,Papaveraceae,Greenland,TV135837
CDM:ALT,TROM_V_85761,SAMEA8202061,ERX5310178,ERR5529717,702219,Filago_arvensis,4210,Asteraceae,Finland,TV85761
BXA:CKX,TROM_V_135788,SAMEA8201030,ERX5310179,ERR5529718,282781,Draba_sibirica,3700,Brassicaceae,Greenland,TV135788
BXA:BIF,TROM_V_33731,SAMEA8201781,ERX5310180,ERR5529719,880653,Atriplex_glabriuscula,1804623,Chenopodiaceae,Norway,TV33731
BMB:IE,TROM_V_91387,SAMEA8202168,ERX5310181,ERR5529720,268058,Hieracium_prenanthoides,4210,Asteraceae,Norway,TV91387
BXA:CIB,TROM_V_85767,SAMEA8202062,ERX5310182,ERR5529721,230712,Scleranthus_annuus,3568,Caryophyllaceae,Finland,TV85767
CDM:APK,TROM_V_46632,SAMEA8201846,ERX5310183,ERR5529722,234465,Carex_remota,4609,Cyperaceae,Norway,TV46632
BXA:BVP,TROM_V_89863,SAMEA8202123,ERX5310184,ERR5529723,82356,Cardamine_bulbifera,3700,Brassicaceae,Norway,TV89863
BXA:BKA,TROM_V_34580,SAMEA8201784,ERX5310185,ERR5529724,1892299,Pilosella_hyperborea,4210,Asteraceae,Norway,TV34580
BXA:APB,TROM_V_33515,SAMEA8201779,ERX5310186,ERR5529725,29712,Neottia_ovata,4747,Orchidaceae,Norway,TV33515
CDM:ABG,TROM_V_650490,SAMEA8201935,ERX5310187,ERR5529726,4079,Hyoscyamus_niger,4070,Solanaceae,Norway,TV650490
BXA:ARA,TROM_V_650529,SAMEA8201936,ERX5310188,ERR5529727,234466,Carex_arenaria,4609,Cyperaceae,Norway,TV650529
CDM:ABR,TROM_V_46630,SAMEA8201845,ERX5310189,ERR5529728,1053350,Fumaria_muralis,3465,Papaveraceae,Norway,TV46630
CDM:ACO,TROM_V_134729,SAMEA8200952,ERX5310190,ERR5529729,2005301,Alchemilla_semidivisa,3745,Rosaceae,Norway,TV134729
BXA:AQC,TROM_V_33474,SAMEA8201778,ERX5310191,ERR5529730,28472,Epipactis_helleborine,4747,Orchidaceae,Norway,TV33474
BXA:BRN,TROM_V_38435,SAMEA8201827,ERX5310192,ERR5529731,1891597,Spergula_arvensis_var_sativa,3568,Caryophyllaceae,Norway,TV38435
CDM:AUF,TROM_V_38367,SAMEA8201826,ERX5310193,ERR5529732,910631,Carex_cespitosa,4609,Cyperaceae,Norway,TV38367
BXA:ARD,TROM_V_47532,SAMEA8201849,ERX5310194,ERR5529733,247443,Agrostis_vinealis,4479,Poaceae,Norway,TV47532
BXA:BTH,TROM_V_38746,SAMEA8201828,ERX5310195,ERR5529734,38785,Arabidopsis_arenosa,3700,Brassicaceae,Norway,TV38746
BXA:BIT,TROM_V_33675,SAMEA8201780,ERX5310196,ERR5529735,1155350,Pilosella_peleteriana,4210,Asteraceae,Norway,TV33675
BXA:BVT,TROM_V_85430,SAMEA8202056,ERX5310197,ERR5529736,1117032,Galium_spurium,24966,Rubiaceae,Norway,TV85430
BXA:BSE,TROM_V_51153,SAMEA8201864,ERX5310198,ERR5529737,487759,Potentilla_atrosanguinea,3745,Rosaceae,Norway,TV51153
CDM:ARH,TROM_V_88475,SAMEA8202086,ERX5310199,ERR5529738,253143,Juncus_alpinoarticulatus,14101,Juncaceae,Norway,TV88475
BXA:ALL,TROM_V_35768,SAMEA8201811,ERX5310200,ERR5529739,1891452,Antennaria_alpina_subsp_porsildii,4210,Asteraceae,Norway,TV35768
BXA:CBC,TROM_V_62785,SAMEA8201911,ERX5310201,ERR5529740,4521,Lolium_multiflorum,4479,Poaceae,Norway,TV62785
CDM:ALV,TROM_V_89860,SAMEA8202122,ERX5310202,ERR5529741,260603,Lycopus_europaeus,4136,Lamiaceae,Norway,TV89860
BXA:BHI,TROM_V_71372,SAMEA8201999,ERX5310203,ERR5529742,3985,Mercurialis_perennis,3977,Euphorbiaceae,Norway,TV71372
BXA:BVN,TROM_V_91375,SAMEA8202167,ERX5310204,ERR5529743,50465,Cardamine_pratensis,3700,Brassicaceae,Norway,TV91375
BXA:BFE,TROM_V_46180,SAMEA8201843,ERX5310205,ERR5529744,90038,Taraxacum_naevosum,4210,Asteraceae,Norway,TV46180
BXA:BEE,TROM_V_45478,SAMEA8201838,ERX5310206,ERR5529745,1891603,Taraxacum_hirtellum,4210,Asteraceae,Norway,TV45478
CDM:AOU,TROM_V_45029,SAMEA8201837,ERX5310207,ERR5529746,140785,Carex_media,4609,Cyperaceae,Norway,TV45029
CDM:BCM,TROM_V_45008,SAMEA8201836,ERX5310208,ERR5529747,57931,Potentilla_norvegica,3745,Rosaceae,Norway,TV45008
BXA:AKI,TROM_V_45907,SAMEA8201840,ERX5310209,ERR5529748,572113,Galeopsis_bifida,4136,Lamiaceae,Norway,TV45907
BXA:BIV,TROM_V_45914,SAMEA8201841,ERX5310210,ERR5529749,1891491,Hieracium_macranthelum,4210,Asteraceae,Norway,TV45914
BXA:BTI,TROM_V_45919,SAMEA8201842,ERX5310211,ERR5529750,1891453,Arabis_hirsuta_var_subalpestre,3700,Brassicaceae,Norway,TV45919
BXA:AQM,TROM_V_42135,SAMEA8201830,ERX5310212,ERR5529751,241197,Carex_atrofusca,4609,Cyperaceae,Norway,TV42135
BXA:BGI,TROM_V_45674,SAMEA8201839,ERX5310213,ERR5529752,161105,Lemna_trisulca,4454,Araceae,Norway,TV45674
BXA:BIM,TROM_V_89844,SAMEA8202118,ERX5310214,ERR5529753,72337,Artemisia_campestris,4210,Asteraceae,Norway,TV89844
BXA:BTD,TROM_V_64793,SAMEA8201922,ERX5310215,ERR5529754,119585,Callitriche_cophocarpa,156152,Plantaginaceae,Norway,TV64793
CDM:APQ,TROM_V_85570,SAMEA8202057,ERX5310216,ERR5529755,34168,Diphasiastrum_complanatum,3250,Lycopodiaceae,Finland,TV85570
CDM:AVB,TROM_V_56933,SAMEA8201887,ERX5310217,ERR5529756,169373,Asplenium_adiantum-nigrum,41972,Aspleniaceae,Norway,TV56933
CDM:AGY,TROM_V_50869,SAMEA8201862,ERX5310218,ERR5529757,1155362,Sedum_anglicum,3781,Crassulaceae,Norway,TV50869
CDM:AAZ,TROM_V_89889,SAMEA8202126,ERX5310219,ERR5529758,53159,Lamium_album,4136,Lamiaceae,Norway,TV89889
CDM:ARZ,TROM_V_89859,SAMEA8202121,ERX5310220,ERR5529759,241234,Carex_sylvatica,4609,Cyperaceae,Norway,TV89859
BXA:CHP,TROM_V_59345,SAMEA8201891,ERX5310221,ERR5529760,2910179,Aria_rupicola,3745,Rosaceae,Norway,TV59345
CDM:AGF,TROM_V_59411,SAMEA8201892,ERX5310222,ERR5529761,626748,Hypericum_pulchrum,629714,Hypericaceae,Norway,TV59411
BXA:AGP,TROM_V_53981,SAMEA8201869,ERX5310223,ERR5529762,41537,Centaurea_montana,4210,Asteraceae,Norway,TV53981
BMB:NB,TROM_V_54667,SAMEA8201872,ERX5310224,ERR5529763,912502,Carex_salina,4609,Cyperaceae,Norway,TV54667
BXA:CIP,TROM_V_89892,SAMEA8202127,ERX5310225,ERR5529764,4041,Pastinaca_sativa,4037,Apiaceae,Norway,TV89892
BXA:BSS,TROM_V_56348,SAMEA8201880,ERX5310226,ERR5529765,1891587,Salix_hastata_subsp_subintegrifolia,3688,Salicaceae,Norway,TV56348
BXA:BKV,TROM_V_53322,SAMEA8201865,ERX5310227,ERR5529766,3261,Equisetum_scirpoides,3256,Equisetaceae,Norway,TV53322
CDM:AGM,TROM_V_54812,SAMEA8201876,ERX5310228,ERR5529767,696533,Rumex_thyrsiflorus,3615,Polygonaceae,Russia,TV54812
CDM:ATK,TROM_V_54807,SAMEA8201875,ERX5310229,ERR5529768,395286,Calamagrostis_neglecta,4479,Poaceae,Russia,TV54807
BXA:AMK,TROM_V_165220,SAMEA8201381,ERX5310230,ERR5529769,1891444,Alchemilla_hirsuticaulis,3745,Rosaceae,Russia,TV165220
BXA:ARM,TROM_V_62523,SAMEA8201907,ERX5310231,ERR5529770,1891451,Alopecurus_pratensis_subsp_pratensis,4479,Poaceae,Norway,TV62523
CDM:ACQ,TROM_V_54758,SAMEA8201874,ERX5310232,ERR5529771,2005300,Alchemilla_sarmatica,3745,Rosaceae,Russia,TV54758
BXA:BBK,TROM_V_54707,SAMEA8201873,ERX5310233,ERR5529772,321412,Pedicularis_sceptrum-carolinum,91896,Orobanchaceae,Russia,TV54707
BXA:AQS,TROM_V_54058,SAMEA8201871,ERX5310234,ERR5529773,15371,Bromus_inermis,4479,Poaceae,Norway,TV54058
BXA:BMF,TROM_V_54050,SAMEA8201870,ERX5310235,ERR5529774,1891610,Taraxacum_spectabile,4210,Asteraceae,Norway,TV54050
CDM:ACP,TROM_V_57995,SAMEA8201889,ERX5310236,ERR5529775,2005316,Taraxacum_recedens,4210,Asteraceae,Norway,TV57995
CDM:AVQ,TROM_V_56624,SAMEA8201884,ERX5310237,ERR5529776,661415,Carex_arctogena,4609,Cyperaceae,Norway,TV56624
BXA:BGK,TROM_V_56647,SAMEA8201885,ERX5310238,ERR5529777,630109,Luzula_nivalis,14101,Juncaceae,Norway,TV56647
BXA:CEA,TROM_V_55017,SAMEA8201878,ERX5310239,ERR5529778,376131,Phippsia_algida_subsp_concinna,4479,Poaceae,Svalbard,TV55017
BXA:BKM,TROM_V_53848,SAMEA8201867,ERX5310240,ERR5529779,87702,Poa_alpina_subsp_vivipara,4479,Poaceae,Norway,TV53848
BXA:BLH,TROM_V_53877,SAMEA8201868,ERX5310241,ERR5529780,368343,Anthoxanthum_monticola,4479,Poaceae,Norway,TV53877
BXA:BFK,TROM_V_55009,SAMEA8201877,ERX5310242,ERR5529781,92921,Silybum_marianum,4210,Asteraceae,Norway,TV55009
CDM:AOF,TROM_V_64124,SAMEA8201915,ERX5310243,ERR5529782,75633,Centaurea_nigra,4210,Asteraceae,Norway,TV64124
CDM:AMD,TROM_V_64150,SAMEA8201916,ERX5310244,ERR5529783,2042671,Rubus_septentrionalis,3745,Rosaceae,Norway,TV64150
CDM:ASK,TROM_V_62567,SAMEA8201908,ERX5334474,ERR5554432,241200,Carex_bigelowii,4609,Cyperaceae,Svalbard,TV62567
CDM:ART,TROM_V_59639,SAMEA8201895,ERX5334475,ERR5554433,754387,Eleocharis_palustris_subsp_waltersii,4609,Cyperaceae,Norway,TV59639
CDM:AHN,TROM_V_59643,SAMEA8201896,ERX5334476,ERR5554434,510738,Crataegus_rhipidophylla,3745,Rosaceae,Norway,TV59643
BXA:BKI,TROM_V_64523,SAMEA8201918,ERX5334477,ERR5554435,93036,Poa_annua,4479,Poaceae,Norway,TV64523
BXA:BSN,TROM_V_62723,SAMEA8201910,ERX5334478,ERR5554436,94424,Phacelia_tanacetifolia,4130,Hydrophyllaceae,Norway,TV62723
BMB:MT,TROM_V_62720,SAMEA8201909,ERX5334479,ERR5554437,3711,Brassica_rapa,3700,Brassicaceae,Norway,TV62720
BXA:AFS,TROM_V_59501,SAMEA8201894,ERX5334480,ERR5554438,1891490,Hieracium_dovrense,4210,Asteraceae,Norway,TV59501
BXA:AHD,TROM_V_67649,SAMEA8201981,ERX5334481,ERR5554439,93819,Orthilia_secunda,4345,Ericaceae,Norway,TV67649
BXA:AIP,TROM_V_67643,SAMEA8201980,ERX5334482,ERR5554440,212671,Hieracium_murorum,4210,Asteraceae,Norway,TV67643
BXA:APL,TROM_V_84238,SAMEA8202049,ERX5334483,ERR5554441,254778,Glyceria_fluitans,4479,Poaceae,Norway,TV84238
BMB:EL,TROM_V_67682,SAMEA8201982,ERX5334484,ERR5554442,240692,Carex_chordorrhiza,4609,Cyperaceae,Norway,TV67682
CDM:AGJ,TROM_V_84363,SAMEA8202050,ERX5334485,ERR5554443,121557,Senecio_sylvaticus,4210,Asteraceae,Norway,TV84363
BXA:ANG,TROM_V_100105,SAMEA8200838,ERX5334486,ERR5554444,397089,Stuckenia_filiformis,16362,Potamogetonaceae,Norway,TV100105
BXA:ASV,TROM_V_61770,SAMEA8201903,ERX5334487,ERR5554445,669736,Oxytropis_sordida,3803,Fabaceae,Norway,TV61770
BXA:ARK,TROM_V_64732,SAMEA8201921,ERX5334488,ERR5554446,114194,Alopecurus_aequalis,4479,Poaceae,Norway,TV64732
BMB:NC,TROM_V_64714,SAMEA8201920,ERX5334489,ERR5554447,140845,Carex_magellanica_subsp_irrigua,4609,Cyperaceae,Norway,TV64714
BXA:BDS,TROM_V_60506,SAMEA8201898,ERX5334490,ERR5554448,1891594,Sorbus_aucuparia_subsp_aucuparia,3745,Rosaceae,Norway,TV60506
CDM:ANX,TROM_V_380003,SAMEA8201818,ERX5334491,ERR5554449,173702,Conopodium_majus,4037,Apiaceae,Norway,TV380003
BXA:AVV,TROM_V_70512,SAMEA8201996,ERX5334492,ERR5554450,118769,Doronicum_orientale,4210,Asteraceae,Norway,TV70512
BXA:AKK,TROM_V_70509,SAMEA8201995,ERX5334493,ERR5554451,38873,Fraxinus_excelsior,4144,Oleaceae,Norway,TV70509
BXA:BME,TROM_V_71246,SAMEA8201998,ERX5334494,ERR5554452,1891610,Taraxacum_spectabile,4210,Asteraceae,Norway,TV71246
BXA:AMC,TROM_V_69312,SAMEA8201984,ERX5334495,ERR5554453,1891442,Alchemilla_filicaulis_subsp_filicaulis,3745,Rosaceae,Norway,TV69312
BMB:MG,TROM_V_70100,SAMEA8201991,ERX5334496,ERR5554454,190330,Atriplex_prostrata,1804623,Chenopodiaceae,Norway,TV70100
CDM:ASI,TROM_V_89680,SAMEA8202107,ERX5334497,ERR5554455,395287,Carex_bigelowii_subsp_lugens,4609,Cyperaceae,Canada,TV89680
BXA:AQP,TROM_V_146991,SAMEA8201156,ERX5334498,ERR5554456,52139,Arrhenatherum_elatius,4479,Poaceae,Norway,TV146991
CDM:AIM,TROM_V_89652,SAMEA8202105,ERX5334499,ERR5554457,140874,Carex_borealipolaris,4609,Cyperaceae,Canada,TV89652
BXA:BKG,TROM_V_174568,SAMEA8201498,ERX5334500,ERR5554458,87701,Poa_alpina,4479,Poaceae,Norway,TV174568
BXA:CEE,TROM_V_89775,SAMEA8202116,ERX5334501,ERR5554459,669810,Salix_niphoclada,3688,Salicaceae,Canada,TV89775
BXA:AGC,TROM_V_72246,SAMEA8202002,ERX5334502,ERR5554460,434244,Lipandra_polysperma,1804623,Chenopodiaceae,Norway,TV72246
CDM:AMZ,TROM_V_89632,SAMEA8202103,ERX5334503,ERR5554461,137116,Gentianella_propinqua,21472,Gentianaceae,Canada,TV89632
CDM:BCT,TROM_V_127166,SAMEA8200883,ERX5334504,ERR5554462,239469,Phyteuma_spicatum,4381,Campanulaceae,Norway,TV127166
BXA:AKF,TROM_V_70774,SAMEA8201997,ERX5334505,ERR5554463,49950,Gentiana_pneumonanthe,21472,Gentianaceae,Russia,TV70774
BXA:AML,TROM_V_111092,SAMEA8200854,ERX5334506,ERR5554464,478317,Alchemilla_heptagona,3745,Rosaceae,Norway,TV111092
BXA:AGK,TROM_V_70277,SAMEA8201993,ERX5334507,ERR5554465,20484,Caragana_arborescens,3803,Fabaceae,Norway,TV70277
BXA:AMI,TROM_V_70245,SAMEA8201992,ERX5334508,ERR5554466,1572673,Alchemilla_micans,3745,Rosaceae,Norway,TV70245
BXA:AFT,TROM_V_70281,SAMEA8201994,ERX5334509,ERR5554467,565971,Consolida_orientalis,3440,Ranunculaceae,Norway,TV70281
BXA:ALD,TROM_V_72249,SAMEA8202003,ERX5334510,ERR5554468,48026,Ammi_majus,4037,Apiaceae,Norway,TV72249
BMB:MR,TROM_V_71408,SAMEA8202000,ERX5334511,ERR5554469,147940,Asplenium_viride,41972,Aspleniaceae,Norway,TV71408
BXA:AMD,TROM_V_76794,SAMEA8202018,ERX5334512,ERR5554470,1891441,Alchemilla_cymatophylla,3745,Rosaceae,Norway,TV76794
BXA:APK,TROM_V_74568,SAMEA8202011,ERX5334513,ERR5554471,1301364,Festuca_prolifera,4479,Poaceae,Norway,TV74568
BXA:BLT,TROM_V_75552,SAMEA8202014,ERX5334514,ERR5554472,50459,Barbarea_vulgaris,3700,Brassicaceae,Norway,TV75552
BXA:BKN,TROM_V_76920,SAMEA8202019,ERX5334515,ERR5554473,84009,Arctostaphylos_uva-ursi,4345,Ericaceae,Norway,TV76920
BXA:BHH,TROM_V_126492,SAMEA8200878,ERX5334516,ERR5554474,28525,Menyanthes_trifoliata,24579,Menyanthaceae,Norway,TV126492
BXA:CMA,TROM_V_111175,SAMEA8200855,ERX5334517,ERR5554475,169223,Honckenya_peploides,3568,Caryophyllaceae,Norway,TV111175
BXA:AMG,TROM_V_115480,SAMEA8200870,ERX5334518,ERR5554476,667203,Alchemilla_glaucescens,3745,Rosaceae,Norway,TV115480
BXA:BHT,TROM_V_126635,SAMEA8200880,ERX5334519,ERR5554477,82281,Campanula_glomerata,4381,Campanulaceae,Norway,TV126635
BMB:ME,TROM_V_126860,SAMEA8200882,ERX5334520,ERR5554478,310247,Crepis_paludosa,4210,Asteraceae,Norway,TV126860
CDM:AGQ,TROM_V_145861,SAMEA8201146,ERX5334521,ERR5554479,208876,Myriophyllum_verticillatum,24945,Haloragaceae,Finland,TV145861
CDM:AOD,TROM_V_145855,SAMEA8201145,ERX5334522,ERR5554480,13417,Chamaedaphne_calyculata,4345,Ericaceae,Finland,TV145855
CDM:AUH,TROM_V_145900,SAMEA8201147,ERX5334523,ERR5554481,1155255,Calamagrostis_canescens,4479,Poaceae,Finland,TV145900
BXA:BLQ,TROM_V_79869,SAMEA8202023,ERX5334524,ERR5554482,9372,Echinops_exaltatus,4210,Asteraceae,Norway,TV79869
BXA:BTV,TROM_V_77105,SAMEA8202020,ERX5334525,ERR5554483,164261,Goodyera_repens,4747,Orchidaceae,Norway,TV77105
BXA:BLS,TROM_V_126745,SAMEA8200881,ERX5334526,ERR5554484,767412,Barbarea_vulgaris_subsp_arcuata,3700,Brassicaceae,Norway,TV126745
BXA:AGH,TROM_V_964170,SAMEA8202401,ERX5334527,ERR5554485,1436118,Centaurea_phrygia_subsp_phrygia,4210,Asteraceae,Norway,TV964170
BXA:AGQ,TROM_V_964171,SAMEA8202402,ERX5334528,ERR5554486,351340,Centaurea_jacea,4210,Asteraceae,Norway,TV964171
BXA:AMA,TROM_V_160380,SAMEA8201337,ERX5334529,ERR5554487,49855,Alchemilla_vulgaris,3745,Rosaceae,Norway,TV160380
CDM:AAU,TROM_V_127802,SAMEA8200884,ERX5334530,ERR5554488,313096,Lathyrus_linifolius,3803,Fabaceae,Norway,TV127802
BXA:BIE,TROM_V_126499,SAMEA8200879,ERX5334531,ERR5554489,1891457,Atriplex_lapponica,1804623,Chenopodiaceae,Norway,TV126499
BXA:BIQ,TROM_V_75978,SAMEA8202016,ERX5334532,ERR5554490,143172,Arctium_minus,4210,Asteraceae,Norway,TV75978
BXA:BMV,TROM_V_78952,SAMEA8202021,ERX5334533,ERR5554491,97028,Trifolium_medium,3803,Fabaceae,Norway,TV78952
BXA:AFG,TROM_V_163090,SAMEA8201371,ERX5334534,ERR5554492,32239,Dasiphora_fruticosa,3745,Rosaceae,Norway,TV163090
BXA:AFF,TROM_V_79886,SAMEA8202024,ERX5334535,ERR5554493,54425,Corydalis_intermedia,3465,Papaveraceae,Norway,TV79886
BXA:BAF,TROM_V_79845,SAMEA8202022,ERX5334536,ERR5554494,3702,Arabidopsis_thaliana,3700,Brassicaceae,Norway,TV79845
CDM:APV,TROM_V_355003,SAMEA8201807,ERX5334537,ERR5554495,190548,Vaccinium_uliginosum,4345,Ericaceae,Switzerland,TV355003
BXA:BDP,TROM_V_149779,SAMEA8201317,ERX5334538,ERR5554496,23264,Saxifraga_hypnoides,3792,Saxifragaceae,Norway,TV149779
BXA:AIB,TROM_V_161372,SAMEA8201338,ERX5334539,ERR5554497,134520,Lonicera_caerulea,4200,Caprifoliaceae,Norway,TV161372
BXA:AVN,TROM_V_140847,SAMEA8201128,ERX5334540,ERR5554498,78191,Arabis_hirsuta,3700,Brassicaceae,Norway,TV140847
CDM:ATR,TROM_V_82194,SAMEA8202039,ERX5334541,ERR5554499,241204,Carex_demissa,4609,Cyperaceae,Norway,TV82194
BXA:BFQ,TROM_V_140856,SAMEA8201129,ERX5334542,ERR5554500,83409,Saxifraga_granulata,3792,Saxifragaceae,Norway,TV140856
BXA:BQC,TROM_V_140843,SAMEA8201127,ERX5334543,ERR5554501,1891618,Viola_canina_subsp_canina,24921,Violaceae,Norway,TV140843
BXA:BAA,TROM_V_149788,SAMEA8201318,ERX5334544,ERR5554502,271552,Cerastium_tomentosum,3568,Caryophyllaceae,Norway,TV149788
CDM:ADO,TROM_V_81081,SAMEA8202029,ERX5334545,ERR5554503,41241,Rumex_acetosa,3615,Polygonaceae,Norway,TV81081
BMB:LT,TROM_V_990595,SAMEA8202617,ERX5334546,ERR5554504,492483,Epipactis_atrorubens,4747,Orchidaceae,Norway,TV990595
BMB:CS,TROM_V_81136,SAMEA8202031,ERX5334547,ERR5554505,1623474,Salix_myrsinifolia_subsp_myrsinifolia,3688,Salicaceae,Norway,TV81136
BMB:LC,TROM_V_80420,SAMEA8202026,ERX5334548,ERR5554506,32112,Cystopteris_fragilis,1203500,Cystopteridaceae,Norway,TV80420
BXA:CAH,TROM_V_164997,SAMEA8201379,ERX5334549,ERR5554507,1891443,Alchemilla_filicaulis_subsp_vestita,3745,Rosaceae,Norway,TV164997
BMB:IG,TROM_V_81302,SAMEA8202034,ERX5334550,ERR5554508,907198,Hieracium_sylvaticum,4210,Asteraceae,Norway,TV81302
CDM:AOS,TROM_V_162628,SAMEA8201367,ERX5334551,ERR5554509,234471,Carex_pulicaris,4609,Cyperaceae,Norway,TV162628
BXA:BSH,TROM_V_81191,SAMEA8202032,ERX5334552,ERR5554510,1775740,Hedlundia_hybrida,3745,Rosaceae,Norway,TV81191
BXA:ANQ,TROM_V_162496,SAMEA8201365,ERX5334553,ERR5554511,261426,Polygonatum_verticillatum,40552,Asparagaceae,Norway,TV162496
CDM:AOP,TROM_V_81259,SAMEA8202033,ERX5334554,ERR5554512,46325,Eleocharis_quinqueflora,4609,Cyperaceae,Norway,TV81259
BMB:IN,TROM_V_162561,SAMEA8201366,ERX5334555,ERR5554513,669720,Neottia_cordata,4747,Orchidaceae,Norway,TV162561
BXA:AHR,TROM_V_162430,SAMEA8201363,ERX5334556,ERR5554514,193516,Hippophae_rhamnoides,25996,Elaeagnaceae,Norway,TV162430
CDM:AAM,TROM_V_85718,SAMEA8202060,ERX5334557,ERR5554515,478334,Alchemilla_plicata,3745,Rosaceae,Finland,TV85718
BXA:BLB,TROM_V_82019,SAMEA8202038,ERX5334558,ERR5554516,570168,Calamagrostis_purpurea,4479,Poaceae,Norway,TV82019
BXA:AKM,TROM_V_84182,SAMEA8202048,ERX5334559,ERR5554517,76036,Fallopia_sachalinensis,3615,Polygonaceae,Norway,TV84182
BMB:LE,TROM_V_80640,SAMEA8202027,ERX5334560,ERR5554518,395314,Salix_glauca,3688,Salicaceae,Norway,TV80640
BMB:LE,TROM_V_80640,SAMEA8202027,ERX5334561,ERR5554519,395314,Salix_glauca,3688,Salicaceae,Norway,TV80640
